 name	GO
PF3D7_1201600	NEK3	GO:0006468
PF3D7_1108400	CK2alpha	GO:0006468
PF3D7_0302100	SRPK1	GO:0006468
PF3D7_1431500	MAPK1	GO:0006468
PF3D7_0213400	PK7	GO:0006468
PF3D7_0217500	CDPK1	GO:0006468
PF3D7_1445400	CLK1	GO:0006468
PF3D7_1443000	SRPK2	GO:0006468
PF3D7_1356900	PK5	GO:0006468
PF3D7_0628200	PK4	GO:0006468
PF3D7_1436600	PKG	GO:0006468
PF3D7_0424500	FIKK4.1	GO:0006468
PF3D7_1444500	eIK1	GO:0006468
PF3D7_0610600	CDPK2	GO:0006468
PF3D7_1349300	TKL3	GO:0006468
PF3D7_0202700	OPP	GO:0004659
PF3D7_0503400	ADF1	GO:0015629
PF3D7_1208200	CRMP3	GO:0030522
PF3D7_1475400	CRMP4	GO:0030522
PF3D7_0911300	CRMP1	GO:0030522
PF3D7_0718300	CRMP2	GO:0030522
PF3D7_1125300	mtRNAP	GO:0005739
PF3D7_1215200	CYP32	GO:0005739
PF3D7_1033000	HPR1	GO:0005739
PF3D7_0420400	RRF2	GO:0005739
PF3D7_1132900	GCVH	GO:0005739
PF3D7_0923800	TRXR	GO:0005739
PF3D7_0415600	GAK	GO:0005739
PF3D7_1311300	PF3D7_1311300	GO:0005739
PF3D7_1239700	FTSH1	GO:0005739
PF3D7_0825200	IF3a	GO:0005739
PF3D7_1034400	SDHA	GO:0005739
PF3D7_1320800	PF3D7_1320800	GO:0005739
PF3D7_1212000	TPx(Gl)	GO:0005739
PF3D7_0923600	LipL2	GO:0005739
PF3D7_1312400	IF2a	GO:0005739
PF3D7_1364900	FC	GO:0005739
PF3D7_0217100	PF3D7_0217100	GO:0005739
PF3D7_1134000	HSP70-3	GO:0005739
PF3D7_1246100	ALAS	GO:0005739
PF3D7_0807400	COQ10	GO:0005739
PF3D7_1217300	EngA	GO:0005739
PF3D7_1117600	ICT1	GO:0005739
PF3D7_1147700	PF3D7_1147700	GO:0005739
PF3D7_1310000	OSCP	GO:0005739
PF3D7_1411600	Obg1	GO:0005739
PF3D7_0608310	SAM50	GO:0005739
PF3D7_1235600	SHMT	GO:0005739
PF3D7_0607500	COQ2	GO:0005739
PF3D7_1311000	ISD11	GO:0005739
PF3D7_1345700	IDH	GO:0005739
PF3D7_1456100	SHMT	GO:0005739
PF3D7_1415800	KsgA1	GO:0005739
PF3D7_0202700	OPP	GO:0005739
PF3D7_0623500	SOD2	GO:0005739
PF3D7_1345100	TRX2	GO:0005739
PF3D7_1028100	PPO	GO:0005739
